innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kings XI Punjab,1,K Goel,26,21,JR Hopes,8,8,34,29
1,Kings XI Punjab,2,KC Sangakkara,20,8,JR Hopes,2,2,22,10
1,Kings XI Punjab,3,DPMD Jayawardene,2,4,JR Hopes,5,2,8,6
1,Kings XI Punjab,4,Yuvraj Singh,6,4,JR Hopes,1,4,9,8
1,Kings XI Punjab,5,Yuvraj Singh,51,30,IK Pathan,12,17,63,47
1,Kings XI Punjab,6,S Sohal,0,1,IK Pathan,0,2,0,3
1,Kings XI Punjab,7,B Lee,0,2,S Sohal,0,0,0,2
1,Kings XI Punjab,8,PP Chawla,9,5,S Sohal,4,3,13,8
1,Kings XI Punjab,9,PP Chawla,15,6,WA Mota,1,1,17,6
2,Rajasthan Royals,1,M Kaif,5,8,Kamran Akmal,0,0,6,7
2,Rajasthan Royals,2,YK Pathan,7,5,Kamran Akmal,4,4,13,8
2,Rajasthan Royals,3,Kamran Akmal,11,6,SR Watson,14,9,29,14
2,Rajasthan Royals,4,SR Watson,32,23,DS Lehmann,17,16,51,39
2,Rajasthan Royals,5,RA Jadeja,36,25,SR Watson,30,17,69,41
