innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Mumbai Indians,A Nehra,4.0,0,35,1,8.75,12,2,1
1,Mumbai Indians,AM Nayar,1.0,0,14,0,14.0,2,0,0
1,Mumbai Indians,DJ Bravo,3.0,0,36,0,12.0,3,1,0
1,Mumbai Indians,DS Kulkarni,3.0,0,25,1,8.33,7,0,1
1,Mumbai Indians,Harbhajan Singh,2.0,0,14,0,7.0,2,0,0
1,Mumbai Indians,MA Khote,3.0,0,29,2,9.67,3,0,0
1,Mumbai Indians,SM Pollock,3.0,0,32,0,10.67,7,1,0
1,Mumbai Indians,VS Yeligati,1.0,0,16,0,16.0,1,1,0
2,Chennai Super Kings,JDP Oram,4.0,0,53,0,13.25,7,2,0
2,Chennai Super Kings,Joginder Sharma,4.0,0,29,2,7.25,8,0,1
2,Chennai Super Kings,M Muralitharan,4.0,0,40,2,10.0,5,4,0
2,Chennai Super Kings,MS Gony,4.0,0,18,1,4.5,12,0,1
2,Chennai Super Kings,P Amarnath,4.0,0,57,1,14.25,6,0,0
