innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kings XI Punjab,1,K Goel,2,7,IK Pathan,6,3,8,10
1,Kings XI Punjab,2,KC Sangakkara,54,25,K Goel,16,14,73,39
1,Kings XI Punjab,3,Yuvraj Singh,18,9,KC Sangakkara,8,8,26,17
1,Kings XI Punjab,4,RR Sarwan,7,9,KC Sangakkara,7,8,14,17
1,Kings XI Punjab,5,DPMD Jayawardene,12,7,KC Sangakkara,19,10,31,17
1,Kings XI Punjab,6,S Sohal,0,4,KC Sangakkara,3,2,3,6
1,Kings XI Punjab,7,KC Sangakkara,3,3,B Lee,0,2,4,4
1,Kings XI Punjab,8,B Lee,8,3,PP Chawla,0,1,10,4
1,Kings XI Punjab,9,B Lee,1,1,S Sreesanth,0,1,1,2
1,Kings XI Punjab,10,VRV Singh,4,2,B Lee,7,2,12,4
2,Mumbai Indians,1,L Ronchi,11,8,ST Jayasuriya,1,7,14,15
2,Mumbai Indians,2,RV Uthappa,0,1,L Ronchi,0,0,0,1
2,Mumbai Indians,3,DJ Bravo,23,21,RV Uthappa,21,16,47,36
2,Mumbai Indians,4,SS Tiwary,4,2,RV Uthappa,0,1,4,3
2,Mumbai Indians,5,SM Pollock,13,11,SS Tiwary,13,8,26,19
2,Mumbai Indians,6,AM Nayar,2,3,SM Pollock,1,2,3,5
2,Mumbai Indians,7,Harbhajan Singh,0,1,SM Pollock,0,0,0,1
2,Mumbai Indians,8,MA Khote,3,4,SM Pollock,8,8,11,12
2,Mumbai Indians,9,DS Kulkarni,0,9,MA Khote,5,3,5,12
2,Mumbai Indians,10,A Nehra,2,10,DS Kulkarni,2,7,6,16
