innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Mumbai Indians,1,1,L Ronchi,RP Singh,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,2,L Ronchi,RP Singh,ST Jayasuriya,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,3,L Ronchi,RP Singh,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,4,L Ronchi,RP Singh,ST Jayasuriya,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,5.wides,ST Jayasuriya,RP Singh,L Ronchi,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,5,ST Jayasuriya,RP Singh,L Ronchi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,6,ST Jayasuriya,RP Singh,L Ronchi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,1,L Ronchi,DNT Zoysa,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,2,L Ronchi,DNT Zoysa,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,3,L Ronchi,DNT Zoysa,ST Jayasuriya,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,4,L Ronchi,DNT Zoysa,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,5,L Ronchi,DNT Zoysa,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,6,L Ronchi,DNT Zoysa,ST Jayasuriya,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,1,ST Jayasuriya,RP Singh,L Ronchi,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Mumbai Indians,3,2,L Ronchi,RP Singh,ST Jayasuriya,0,0,0,,0,0,0,0,0,True,caught,L Ronchi,VVS Laxman,powerplay
1,Mumbai Indians,3,3,AM Rahane,RP Singh,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,4,AM Rahane,RP Singh,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,5,AM Rahane,RP Singh,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,6,AM Rahane,RP Singh,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,1,ST Jayasuriya,SB Bangar,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,2,ST Jayasuriya,SB Bangar,AM Rahane,3,0,3,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,3,AM Rahane,SB Bangar,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,4,AM Rahane,SB Bangar,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,5,AM Rahane,SB Bangar,ST Jayasuriya,0,0,0,,0,0,0,0,0,True,caught,AM Rahane,PP Ojha,powerplay
1,Mumbai Indians,4,6,ST Jayasuriya,SB Bangar,RV Uthappa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,1,RV Uthappa,DNT Zoysa,ST Jayasuriya,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,2,ST Jayasuriya,DNT Zoysa,RV Uthappa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,3,ST Jayasuriya,DNT Zoysa,RV Uthappa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,4.wides,ST Jayasuriya,DNT Zoysa,RV Uthappa,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,4,ST Jayasuriya,DNT Zoysa,RV Uthappa,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,5,RV Uthappa,DNT Zoysa,ST Jayasuriya,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,6,ST Jayasuriya,DNT Zoysa,RV Uthappa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,1.noballs,RV Uthappa,Shahid Afridi,ST Jayasuriya,0,1,1,noballs,0,1,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,1,RV Uthappa,Shahid Afridi,ST Jayasuriya,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,2,RV Uthappa,Shahid Afridi,ST Jayasuriya,0,0,0,,0,0,0,0,0,True,caught,RV Uthappa,AC Gilchrist,powerplay
1,Mumbai Indians,6,3,SM Pollock,Shahid Afridi,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,4,SM Pollock,Shahid Afridi,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,5,SM Pollock,Shahid Afridi,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,6,SM Pollock,Shahid Afridi,ST Jayasuriya,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,7,1,ST Jayasuriya,DNT Zoysa,SM Pollock,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,2,ST Jayasuriya,DNT Zoysa,SM Pollock,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,3,SM Pollock,DNT Zoysa,ST Jayasuriya,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,4,ST Jayasuriya,DNT Zoysa,SM Pollock,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,5,SM Pollock,DNT Zoysa,ST Jayasuriya,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,6,ST Jayasuriya,DNT Zoysa,SM Pollock,4,0,4,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,8,1,SM Pollock,PP Ojha,ST Jayasuriya,4,0,4,,0,0,0,0,0,False,,,,middle
