innings,team,wicket_number,player_out,score,over
1,Kings XI Punjab,1,JR Hopes,28,4.5
1,Kings XI Punjab,2,Yuvraj Singh,82,9.6
1,Kings XI Punjab,3,SE Marsh,98,12.3
1,Kings XI Punjab,4,DPMD Jayawardene,102,13.1
1,Kings XI Punjab,5,K Goel,106,14.3
1,Kings XI Punjab,6,KC Sangakkara,155,19.3
2,Kolkata Knight Riders,1,SC Ganguly,22,3.5
2,Kolkata Knight Riders,2,Mohammad Hafeez,23,4.1
2,Kolkata Knight Riders,3,BJ Hodge,25,4.6
2,Kolkata Knight Riders,4,DB Das,29,5.6
2,Kolkata Knight Riders,5,LR Shukla,50,10.4
2,Kolkata Knight Riders,6,DJ Hussey,154,19.5
