innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Rajasthan Royals,GC Smith,75,49,8,2,153.06,not out,1
1,Rajasthan Royals,SA Asnodkar,50,44,7,1,113.64,c Misbah-ul-Haq b A Kumble,2
1,Rajasthan Royals,SR Watson,46,28,6,0,164.29,not out,3
2,Royal Challengers Bangalore,J Arunkumar,0,3,0,0,0.0,c SK Trivedi b Sohail Tanvir,1
2,Royal Challengers Bangalore,V Kohli,3,7,0,0,42.86,b Sohail Tanvir,2
2,Royal Challengers Bangalore,Misbah-ul-Haq,0,1,0,0,0.0,c T Kohli b MM Patel,3
2,Royal Challengers Bangalore,JH Kallis,20,29,2,0,68.97,c YK Pathan b SK Trivedi,4
2,Royal Challengers Bangalore,CL White,10,16,1,0,62.5,c SK Trivedi b MM Patel,5
2,Royal Challengers Bangalore,R Dravid,75,36,6,6,208.33,not out,6
2,Royal Challengers Bangalore,DT Patil,9,12,0,0,75.0,c RA Jadeja b SK Warne,7
2,Royal Challengers Bangalore,P Kumar,0,1,0,0,0.0,c M Kaif b SK Warne,8
2,Royal Challengers Bangalore,Z Khan,1,5,0,0,20.0,c & b SK Warne,9
2,Royal Challengers Bangalore,A Kumble,8,8,1,0,100.0,c M Rawat b Sohail Tanvir,10
2,Royal Challengers Bangalore,Abdur Razzak,0,2,0,0,0.0,not out,11
