innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,ST Jayasuriya,39,3.5
1,Mumbai Indians,2,SR Tendulkar,72,9.2
1,Mumbai Indians,3,DJ Thornely,72,9.4
1,Mumbai Indians,4,RV Uthappa,96,13.5
1,Mumbai Indians,5,AM Nayar,150,18.4
1,Mumbai Indians,6,DJ Bravo,156,18.6
1,Mumbai Indians,7,PR Shah,175,20.2
2,Deccan Chargers,1,Shahid Afridi,7,2.2
2,Deccan Chargers,2,AC Gilchrist,20,5.2
2,Deccan Chargers,3,RG Sharma,20,5.3
2,Deccan Chargers,4,LPC Silva,56,10.1
2,Deccan Chargers,5,Y Venugopal Rao,130,18.1
2,Deccan Chargers,6,DB Ravi Teja,136,18.3
2,Deccan Chargers,7,H Das,145,19.5
