innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Chennai Super Kings,JA Morkel,4.0,0,32,4,8.0,8,0,0
1,Chennai Super Kings,L Balaji,4.0,0,34,1,8.5,7,0,0
1,Chennai Super Kings,M Muralitharan,4.0,0,19,1,4.75,11,0,0
1,Chennai Super Kings,M Ntini,4.0,0,27,0,6.75,12,0,0
1,Chennai Super Kings,MS Gony,4.0,0,11,2,2.75,13,1,0
2,Royal Challengers Bangalore,A Kumble,4.0,0,14,3,3.5,13,0,0
2,Royal Challengers Bangalore,B Akhil,1.0,0,4,0,4.0,2,0,0
2,Royal Challengers Bangalore,DW Steyn,4.0,0,28,2,7.0,18,3,1
2,Royal Challengers Bangalore,JH Kallis,4.0,0,15,0,3.75,13,0,0
2,Royal Challengers Bangalore,P Kumar,4.0,0,26,1,6.5,15,1,0
2,Royal Challengers Bangalore,R Vinay Kumar,3.0,0,23,1,7.67,6,0,1
