innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Royal Challengers Bangalore,1,JH Kallis,5,5,SP Goswami,2,5,7,10
1,Royal Challengers Bangalore,2,V Kohli,7,9,SP Goswami,8,14,15,23
1,Royal Challengers Bangalore,3,R Dravid,5,9,V Kohli,3,7,11,16
1,Royal Challengers Bangalore,4,R Dravid,4,5,Misbah-ul-Haq,4,6,8,11
1,Royal Challengers Bangalore,5,R Dravid,18,15,MV Boucher,17,15,35,30
1,Royal Challengers Bangalore,6,R Dravid,20,10,B Akhil,0,1,21,11
1,Royal Challengers Bangalore,7,P Kumar,21,11,B Akhil,6,6,27,17
1,Royal Challengers Bangalore,8,R Vinay Kumar,0,1,B Akhil,0,0,0,1
1,Royal Challengers Bangalore,9,A Kumble,2,1,B Akhil,0,0,2,1
2,Chennai Super Kings,1,PA Patel,24,29,SP Fleming,29,27,60,55
2,Chennai Super Kings,2,MS Dhoni,4,8,SP Fleming,1,3,5,11
2,Chennai Super Kings,3,SK Raina,4,5,SP Fleming,15,10,20,14
2,Chennai Super Kings,4,S Badrinath,1,3,SK Raina,0,1,2,4
2,Chennai Super Kings,5,SK Raina,5,4,JA Morkel,1,5,6,9
2,Chennai Super Kings,6,S Vidyut,0,3,SK Raina,0,0,0,3
2,Chennai Super Kings,7,SK Raina,10,6,MS Gony,4,4,15,10
2,Chennai Super Kings,8,L Balaji,0,4,SK Raina,0,0,2,4
2,Chennai Super Kings,9,SK Raina,2,4,M Ntini,0,6,2,10
