innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Deccan Chargers,AC Gilchrist,46,37,4,2,124.32,c B Akhil b R Vinay Kumar,1
1,Deccan Chargers,HH Gibbs,47,34,6,2,138.24,st SP Goswami b A Kumble,2
1,Deccan Chargers,RG Sharma,17,16,2,0,106.25,c DW Steyn b R Vinay Kumar,3
1,Deccan Chargers,LPC Silva,0,2,0,0,0.0,c SP Goswami b V Kohli,4
1,Deccan Chargers,Y Venugopal Rao,26,12,2,2,216.67,c W Jaffer b R Vinay Kumar,5
1,Deccan Chargers,DB Ravi Teja,7,7,1,0,100.0,b V Kohli,6
1,Deccan Chargers,AS Yadav,8,8,0,1,100.0,c B Chipli b DW Steyn,7
1,Deccan Chargers,SB Bangar,0,0,0,0,0.0,run out (R Vinay Kumar),8
1,Deccan Chargers,WPUJC Vaas,0,3,0,0,0.0,run out (SP Goswami),9
1,Deccan Chargers,RP Singh,1,3,0,0,33.33,b DW Steyn,10
2,Royal Challengers Bangalore,JH Kallis,31,25,6,0,124.0,run out (LPC Silva),1
2,Royal Challengers Bangalore,W Jaffer,5,5,1,0,100.0,run out (AS Yadav),2
2,Royal Challengers Bangalore,Misbah-ul-Haq,34,28,4,1,121.43,c LPC Silva b DB Ravi Teja,3
2,Royal Challengers Bangalore,R Dravid,31,21,3,1,147.62,c AC Gilchrist b SB Bangar,4
2,Royal Challengers Bangalore,CL White,31,23,1,2,134.78,not out,5
2,Royal Challengers Bangalore,V Kohli,9,5,2,0,180.0,c DB Ravi Teja b WPUJC Vaas,6
2,Royal Challengers Bangalore,B Akhil,27,7,2,3,385.71,not out,7
