innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Rajasthan Royals,D Salunkhe,3.0,0,23,0,7.67,7,0,0
1,Rajasthan Royals,MM Patel,4.0,0,37,0,9.25,12,1,0
1,Rajasthan Royals,Pankaj Singh,3.0,0,48,0,16.0,3,1,1
1,Rajasthan Royals,SK Trivedi,4.0,0,48,0,12.0,7,0,0
1,Rajasthan Royals,SR Watson,4.0,0,40,1,10.0,10,1,0
1,Rajasthan Royals,YK Pathan,2.0,0,24,1,12.0,2,0,0
2,Kings XI Punjab,IK Pathan,4.0,0,10,1,2.5,17,0,0
2,Kings XI Punjab,JR Hopes,3.0,0,29,2,9.67,6,0,0
2,Kings XI Punjab,PP Chawla,4.0,0,35,3,8.75,7,0,0
2,Kings XI Punjab,RR Powar,1.0,0,7,0,7.0,1,0,0
2,Kings XI Punjab,S Sreesanth,3.0,0,44,1,14.67,5,1,0
2,Kings XI Punjab,VRV Singh,4.0,0,32,0,8.0,7,0,0
2,Kings XI Punjab,Yuvraj Singh,1.0,0,20,0,20.0,0,0,0
