innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Chennai Super Kings,JA Morkel,4.0,0,27,2,6.75,12,0,0
1,Chennai Super Kings,L Balaji,4.0,0,27,0,6.75,8,0,0
1,Chennai Super Kings,M Muralitharan,4.0,0,19,1,4.75,12,1,0
1,Chennai Super Kings,M Ntini,4.0,0,23,2,5.75,14,0,0
1,Chennai Super Kings,MS Gony,4.0,1,14,2,3.5,16,1,0
2,Kings XI Punjab,IK Pathan,4.0,0,24,1,6.0,13,2,0
2,Kings XI Punjab,JR Hopes,2.0,0,20,0,10.0,3,0,0
2,Kings XI Punjab,PP Chawla,2.5,0,23,0,8.12,6,0,0
2,Kings XI Punjab,RR Powar,3.0,0,28,0,9.33,6,1,0
2,Kings XI Punjab,S Sreesanth,1.0,0,7,0,7.0,3,1,0
2,Kings XI Punjab,VRV Singh,2.0,0,14,0,7.0,6,0,0
