match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2008-04-20,Kolkata Knight Riders,Eden Gardens,23,22,1,2,104.55,c Mohammad Hafeez b M Kartik,1
7,2008-04-22,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",8,9,0,1,88.89,b Mohammad Asif,1
9,2008-04-24,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",13,9,3,0,144.44,st Kamran Akmal b YK Pathan,1
14,2008-04-27,Mumbai Indians,Dr DY Patil Sports Academy,109,47,9,10,231.91,not out,1
19,2008-05-01,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",6,6,0,0,100.0,b IK Pathan,1
21,2008-05-03,Royal Challengers Bangalore,M Chinnaswamy Stadium,10,11,2,0,90.91,c W Jaffer b Z Khan,1
26,2008-05-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",54,36,7,2,150.0,c S Badrinath b JA Morkel,1
30,2008-05-09,Rajasthan Royals,Sawai Mansingh Stadium,61,49,9,1,124.49,c M Rawat b SK Trivedi,1
32,2008-05-11,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",24,17,5,0,141.18,c SC Ganguly b AB Dinda,1
37,2008-05-15,Delhi Daredevils,Feroz Shah Kotla,14,9,3,0,155.56,c TM Dilshan b GD McGrath,1
42,2008-05-18,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",13,16,2,0,81.25,c PR Shah b CRD Fernando,1
48,2008-05-23,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",50,42,6,1,119.05,b RR Powar,1
51,2008-05-25,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",46,37,4,2,124.32,c B Akhil b R Vinay Kumar,1
54,2008-05-27,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",5,8,0,0,62.5,c A Mukund b MS Gony,1
