match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2008-04-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,12,12,1,0,100.0,c CL White b AA Noffke,4
4,2008-04-20,Deccan Chargers,Eden Gardens,38,43,1,3,88.37,not out,5
11,2008-04-26,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,2,0,0,0.0,c S Badrinath b P Amarnath,5
16,2008-04-29,Mumbai Indians,Eden Gardens,17,20,3,0,85.0,c A Nehra b ST Jayasuriya,5
18,2008-05-01,Rajasthan Royals,Sawai Mansingh Stadium,42,30,1,2,140.0,b SK Trivedi,5
22,2008-05-03,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",71,46,4,4,154.35,c JR Hopes b Gagandeep Singh,5
29,2008-05-08,Royal Challengers Bangalore,Eden Gardens,26,12,1,3,216.67,"run out (DW Steyn, MV Boucher)",4
32,2008-05-11,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",57,29,4,3,196.55,not out,4
35,2008-05-13,Delhi Daredevils,Eden Gardens,31,31,0,2,100.0,c MK Tiwary b MF Maharoof,4
38,2008-05-16,Mumbai Indians,Wankhede Stadium,2,7,0,0,28.57,c YV Takawale b SM Pollock,4
41,2008-05-18,Chennai Super Kings,Eden Gardens,0,1,0,0,0.0,b M Ntini,5
44,2008-05-20,Rajasthan Royals,Eden Gardens,11,15,2,0,73.33,b YK Pathan,4
52,2008-05-25,Kings XI Punjab,Eden Gardens,12,11,2,0,109.09,b PP Chawla,4
