match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
10,2008-04-25,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",4.0,0,40,1,10.0,10,1,0
13,2008-04-27,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",4.0,0,29,3,7.25,10,0,0
19,2008-05-01,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",4.0,0,34,0,8.5,5,0,0
22,2008-05-03,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",4.0,0,31,1,7.75,6,0,0
25,2008-05-05,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,33,1,8.25,10,1,0
31,2008-05-10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,35,1,8.75,9,1,1
34,2008-05-12,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",4.0,0,15,1,3.75,10,0,0
40,2008-05-17,Delhi Daredevils,Feroz Shah Kotla,2.0,0,33,0,16.5,1,0,1
45,2008-05-21,Mumbai Indians,Wankhede Stadium,4.0,0,56,0,14.0,4,0,1
48,2008-05-23,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",4.0,0,40,1,10.0,5,0,0
52,2008-05-25,Kolkata Knight Riders,Eden Gardens,4.0,0,28,2,7.0,11,2,0
56,2008-05-28,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",4.0,0,32,0,8.0,7,0,0
58,2008-05-31,Chennai Super Kings,Wankhede Stadium,2.0,0,14,0,7.0,6,0,0
