innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Mumbai Indians,DJ Bravo,4.0,0,34,3,8.5,8,1,0
1,Mumbai Indians,DS Kulkarni,1.0,0,18,0,18.0,1,0,0
1,Mumbai Indians,Harbhajan Singh,4.0,0,27,1,6.75,6,1,0
1,Mumbai Indians,SL Malinga,4.0,0,19,3,4.75,14,1,0
1,Mumbai Indians,ST Jayasuriya,3.0,0,29,1,9.67,5,1,0
1,Mumbai Indians,Z Khan,4.0,0,32,0,8.0,5,1,0
2,Deccan Chargers,DR Smith,2.0,0,15,0,7.5,3,0,0
2,Deccan Chargers,FH Edwards,4.0,0,27,2,6.75,10,4,0
2,Deccan Chargers,Harmeet Singh,1.0,0,19,0,19.0,1,0,0
2,Deccan Chargers,PP Ojha,4.0,0,21,3,5.25,8,1,0
2,Deccan Chargers,RG Sharma,1.0,0,8,0,8.0,3,0,0
2,Deccan Chargers,RP Singh,4.0,0,27,2,6.75,12,1,1
2,Deccan Chargers,Y Venugopal Rao,4.0,0,33,0,8.25,5,0,0
