innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Kings XI Punjab,1,1,RS Bopara,Z Khan,K Goel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,2,RS Bopara,Z Khan,K Goel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,3,K Goel,Z Khan,RS Bopara,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,4,RS Bopara,Z Khan,K Goel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,5,K Goel,Z Khan,RS Bopara,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,6,K Goel,Z Khan,RS Bopara,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,1,RS Bopara,SL Malinga,K Goel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,2,RS Bopara,SL Malinga,K Goel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,3,RS Bopara,SL Malinga,K Goel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,4,RS Bopara,SL Malinga,K Goel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,5,K Goel,SL Malinga,RS Bopara,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,6,K Goel,SL Malinga,RS Bopara,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,1,RS Bopara,Z Khan,K Goel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,2,K Goel,Z Khan,RS Bopara,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,3,RS Bopara,Z Khan,K Goel,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,4,RS Bopara,Z Khan,K Goel,1,0,1,,0,0,0,0,0,False,,,,powerplay
