innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Deccan Chargers,1,HH Gibbs,8,10,AC Gilchrist,25,15,34,25
1,Deccan Chargers,2,AA Bilakhia,1,5,AC Gilchrist,0,1,1,6
1,Deccan Chargers,3,AC Gilchrist,14,19,RG Sharma,6,9,23,28
1,Deccan Chargers,4,TL Suman,24,19,RG Sharma,32,23,59,42
1,Deccan Chargers,5,TL Suman,11,7,DR Smith,7,8,18,15
1,Deccan Chargers,6,TL Suman,6,4,Y Venugopal Rao,0,0,6,4
2,Rajasthan Royals,1,GC Smith,0,2,SA Asnodkar,0,0,0,2
2,Rajasthan Royals,2,SA Asnodkar,0,1,LA Carseldine,0,0,1,1
2,Rajasthan Royals,3,LA Carseldine,2,3,NV Ojha,0,6,2,9
2,Rajasthan Royals,4,LA Carseldine,36,27,RA Jadeja,12,17,51,43
2,Rajasthan Royals,5,SK Warne,2,2,LA Carseldine,1,2,3,4
2,Rajasthan Royals,6,AS Raut,17,11,SK Warne,19,15,36,26
2,Rajasthan Royals,7,AS Raut,13,9,YK Pathan,24,14,38,23
2,Rajasthan Royals,8,SM Harwood,3,7,AS Raut,6,3,11,10
