innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,L Ronchi,1,1.2
1,Mumbai Indians,2,JP Duminy,1,1.6
1,Mumbai Indians,3,SR Tendulkar,30,6.6
1,Mumbai Indians,4,PR Shah,33,8.4
1,Mumbai Indians,5,DJ Bravo,90,16.6
1,Mumbai Indians,6,AM Nayar,90,17.1
1,Mumbai Indians,7,Harbhajan Singh,113,19.5
1,Mumbai Indians,8,RR Raje,114,20.1
1,Mumbai Indians,9,AM Rahane,115,20.4
1,Mumbai Indians,10,DS Kulkarni,116,20.6
2,Delhi Daredevils,1,DA Warner,42,9.2
2,Delhi Daredevils,2,G Gambhir,46,10.1
2,Delhi Daredevils,3,TM Dilshan,107,18.5
