innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Rajasthan Royals,1,1,GC Smith,JA Morkel,NV Ojha,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,2,NV Ojha,JA Morkel,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,3,NV Ojha,JA Morkel,GC Smith,0,0,0,,0,0,0,0,0,True,bowled,NV Ojha,,powerplay
1,Rajasthan Royals,1,4,SA Asnodkar,JA Morkel,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,5,SA Asnodkar,JA Morkel,GC Smith,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,6,SA Asnodkar,JA Morkel,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,1,GC Smith,S Tyagi,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,2,GC Smith,S Tyagi,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,3,SA Asnodkar,S Tyagi,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,4,SA Asnodkar,S Tyagi,GC Smith,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,5,GC Smith,S Tyagi,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,6,GC Smith,S Tyagi,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,1,GC Smith,JA Morkel,SA Asnodkar,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,2,GC Smith,JA Morkel,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,3,GC Smith,JA Morkel,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,4,SA Asnodkar,JA Morkel,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,5,SA Asnodkar,JA Morkel,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,6,SA Asnodkar,JA Morkel,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,1,GC Smith,S Tyagi,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,2,SA Asnodkar,S Tyagi,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,3,SA Asnodkar,S Tyagi,GC Smith,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,4,SA Asnodkar,S Tyagi,GC Smith,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,5,SA Asnodkar,S Tyagi,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,6,SA Asnodkar,S Tyagi,GC Smith,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,1,GC Smith,L Balaji,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,2,GC Smith,L Balaji,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,3,SA Asnodkar,L Balaji,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,4,SA Asnodkar,L Balaji,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,5,SA Asnodkar,L Balaji,GC Smith,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,6,GC Smith,L Balaji,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,1,GC Smith,JDP Oram,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,2,GC Smith,JDP Oram,SA Asnodkar,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,3,GC Smith,JDP Oram,SA Asnodkar,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Rajasthan Royals,6,4,SA Asnodkar,JDP Oram,GC Smith,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,5,SA Asnodkar,JDP Oram,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,6,SA Asnodkar,JDP Oram,GC Smith,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,7,1,GC Smith,M Muralitharan,SA Asnodkar,4,0,4,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,2,GC Smith,M Muralitharan,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,3,GC Smith,M Muralitharan,SA Asnodkar,2,0,2,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,4,GC Smith,M Muralitharan,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,5,GC Smith,M Muralitharan,SA Asnodkar,0,1,1,legbyes,0,0,0,1,0,False,,,,middle
1,Rajasthan Royals,7,6,SA Asnodkar,M Muralitharan,GC Smith,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,1,GC Smith,SB Jakati,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,2.wides,SA Asnodkar,SB Jakati,GC Smith,0,1,1,wides,1,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,2,SA Asnodkar,SB Jakati,GC Smith,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,3,GC Smith,SB Jakati,SA Asnodkar,2,0,2,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,4,GC Smith,SB Jakati,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,5,GC Smith,SB Jakati,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,6,SA Asnodkar,SB Jakati,GC Smith,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,1,GC Smith,M Muralitharan,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,2,SA Asnodkar,M Muralitharan,GC Smith,4,0,4,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,3,SA Asnodkar,M Muralitharan,GC Smith,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,4,GC Smith,M Muralitharan,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,5,SA Asnodkar,M Muralitharan,GC Smith,0,0,0,,0,0,0,0,0,True,lbw,SA Asnodkar,,middle
1,Rajasthan Royals,9,6,RA Jadeja,M Muralitharan,GC Smith,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,1,RA Jadeja,SK Raina,GC Smith,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,2,GC Smith,SK Raina,RA Jadeja,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,3,RA Jadeja,SK Raina,GC Smith,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,4,GC Smith,SK Raina,RA Jadeja,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,5,RA Jadeja,SK Raina,GC Smith,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,6,GC Smith,SK Raina,RA Jadeja,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,1,GC Smith,M Muralitharan,RA Jadeja,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,2,GC Smith,M Muralitharan,RA Jadeja,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,3,RA Jadeja,M Muralitharan,GC Smith,2,0,2,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,4,RA Jadeja,M Muralitharan,GC Smith,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,5,RA Jadeja,M Muralitharan,GC Smith,4,0,4,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,6,RA Jadeja,M Muralitharan,GC Smith,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,1,GC Smith,SK Raina,RA Jadeja,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,2,RA Jadeja,SK Raina,GC Smith,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,3,RA Jadeja,SK Raina,GC Smith,4,0,4,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,4,RA Jadeja,SK Raina,GC Smith,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,5,RA Jadeja,SK Raina,GC Smith,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,6,RA Jadeja,SK Raina,GC Smith,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,1,RA Jadeja,M Muralitharan,GC Smith,1,0,1,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,2,GC Smith,M Muralitharan,RA Jadeja,0,0,0,,0,0,0,0,0,True,stumped,GC Smith,MS Dhoni,middle
1,Rajasthan Royals,13,3,YK Pathan,M Muralitharan,RA Jadeja,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,4,YK Pathan,M Muralitharan,RA Jadeja,0,0,0,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,5,YK Pathan,M Muralitharan,RA Jadeja,0,0,0,,0,0,0,0,0,False,,,,middle
