innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,BB McCullum,7,1.3
1,Kolkata Knight Riders,2,BJ Hodge,7,1.6
1,Kolkata Knight Riders,3,MN van Wyk,9,2.5
1,Kolkata Knight Riders,4,Yashpal Singh,45,8.3
1,Kolkata Knight Riders,5,WP Saha,46,8.6
1,Kolkata Knight Riders,6,MC Henriques,56,12.2
1,Kolkata Knight Riders,7,SC Ganguly,88,17.1
1,Kolkata Knight Riders,8,AB Agarkar,123,20.6
2,Delhi Daredevils,1,G Gambhir,53,7.4
2,Delhi Daredevils,2,DA Warner,66,9.3
2,Delhi Daredevils,3,TM Dilshan,69,9.6
