innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Royal Challengers Bangalore,1,JH Kallis,5,7,MK Pandey,2,5,7,12
1,Royal Challengers Bangalore,2,MK Pandey,31,26,RE van der Merwe,23,18,55,44
1,Royal Challengers Bangalore,3,R Dravid,6,9,MK Pandey,39,21,45,30
1,Royal Challengers Bangalore,4,MK Pandey,26,12,LRPL Taylor,1,4,27,16
1,Royal Challengers Bangalore,5,V Kohli,19,9,MK Pandey,16,9,36,18
2,Deccan Chargers,1,AC Gilchrist,15,18,HH Gibbs,45,23,68,41
2,Deccan Chargers,2,HH Gibbs,8,13,TL Suman,12,12,23,25
2,Deccan Chargers,3,HH Gibbs,7,7,A Symonds,16,12,25,19
2,Deccan Chargers,4,A Symonds,2,3,RG Sharma,1,3,3,6
2,Deccan Chargers,5,Y Venugopal Rao,8,9,RG Sharma,10,7,18,16
2,Deccan Chargers,6,RG Sharma,1,2,AA Bilakhia,0,0,1,2
2,Deccan Chargers,7,AA Bilakhia,16,8,RJ Harris,4,3,20,11
