innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Delhi Daredevils,1,1,G Gambhir,RJ Harris,DA Warner,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,2,G Gambhir,RJ Harris,DA Warner,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,3,G Gambhir,RJ Harris,DA Warner,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,4,G Gambhir,RJ Harris,DA Warner,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,5,G Gambhir,RJ Harris,DA Warner,0,0,0,,0,0,0,0,0,True,caught,G Gambhir,RP Singh,powerplay
1,Delhi Daredevils,1,6,DA Warner,RJ Harris,V Sehwag,0,0,0,,0,0,0,0,0,True,caught,DA Warner,HH Gibbs,powerplay
1,Delhi Daredevils,2,1,V Sehwag,RP Singh,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,2,V Sehwag,RP Singh,TM Dilshan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,3,V Sehwag,RP Singh,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,4,V Sehwag,RP Singh,TM Dilshan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,5,TM Dilshan,RP Singh,V Sehwag,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,6,TM Dilshan,RP Singh,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,1,V Sehwag,RJ Harris,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,2,V Sehwag,RJ Harris,TM Dilshan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,3,V Sehwag,RJ Harris,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,4,V Sehwag,RJ Harris,TM Dilshan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,5,V Sehwag,RJ Harris,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,6,V Sehwag,RJ Harris,TM Dilshan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,1,TM Dilshan,RP Singh,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,2,TM Dilshan,RP Singh,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,3,TM Dilshan,RP Singh,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,4,TM Dilshan,RP Singh,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,5,TM Dilshan,RP Singh,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,6.wides,V Sehwag,RP Singh,TM Dilshan,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,6,V Sehwag,RP Singh,TM Dilshan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,1,TM Dilshan,RJ Harris,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,2.noballs,V Sehwag,RJ Harris,TM Dilshan,2,1,3,noballs,0,1,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,2,V Sehwag,RJ Harris,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,3,V Sehwag,RJ Harris,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,4,V Sehwag,RJ Harris,TM Dilshan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,5,V Sehwag,RJ Harris,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,6,V Sehwag,RJ Harris,TM Dilshan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,1,TM Dilshan,PP Ojha,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,2,TM Dilshan,PP Ojha,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,3,TM Dilshan,PP Ojha,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,4,TM Dilshan,PP Ojha,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,5,TM Dilshan,PP Ojha,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,6,TM Dilshan,PP Ojha,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,7,1,V Sehwag,A Symonds,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,2,V Sehwag,A Symonds,TM Dilshan,4,0,4,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,3,V Sehwag,A Symonds,TM Dilshan,2,0,2,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,4,V Sehwag,A Symonds,TM Dilshan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,5,TM Dilshan,A Symonds,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,6,TM Dilshan,A Symonds,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,1,V Sehwag,PP Ojha,TM Dilshan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,2,TM Dilshan,PP Ojha,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,3,V Sehwag,PP Ojha,TM Dilshan,4,0,4,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,4,V Sehwag,PP Ojha,TM Dilshan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,5,V Sehwag,PP Ojha,TM Dilshan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,6,TM Dilshan,PP Ojha,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,1,TM Dilshan,A Symonds,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,2,TM Dilshan,A Symonds,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,3,TM Dilshan,A Symonds,V Sehwag,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,4,TM Dilshan,A Symonds,V Sehwag,4,0,4,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,5,TM Dilshan,A Symonds,V Sehwag,2,0,2,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,6,TM Dilshan,A Symonds,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,10,1,TM Dilshan,Harmeet Singh,V Sehwag,1,0,1,,0,0,0,0,0,False,,,,middle
