match_number,date,opponent,catches,stumpings,run_outs
4,2009-04-19,Kolkata Knight Riders,1,2,0
8,2009-04-22,Royal Challengers Bangalore,1,1,1
12,2009-04-25,Mumbai Indians,2,0,0
16,2009-04-27,Chennai Super Kings,1,0,0
25,2009-05-02,Rajasthan Royals,1,0,0
32,2009-05-06,Mumbai Indians,1,1,0
36,2009-05-09,Kings XI Punjab,1,0,2
40,2009-05-11,Rajasthan Royals,0,1,2
43,2009-05-13,Delhi Daredevils,0,0,1
48,2009-05-16,Kolkata Knight Riders,0,0,1
49,2009-05-17,Kings XI Punjab,0,0,1
56,2009-05-21,Royal Challengers Bangalore,0,1,0
57,2009-05-22,Delhi Daredevils,1,0,2
59,2009-05-24,Royal Challengers Bangalore,1,2,0
