match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2009-04-18,Chennai Super Kings,Newlands,35,14,2,3,250.0,c T Thushara b JDP Oram,6
12,2009-04-25,Deccan Chargers,Kingsmead,10,6,0,1,166.67,c AC Gilchrist b FH Edwards,6
17,2009-04-27,Kolkata Knight Riders,St George's Park,3,3,0,0,100.0,"run out (LR Shukla, BB McCullum)",5
20,2009-04-29,Kings XI Punjab,Kingsmead,15,15,1,0,100.0,b IK Pathan,6
23,2009-05-01,Kolkata Knight Riders,Buffalo Park,10,13,1,0,76.92,b BJ Hodge,4
28,2009-05-03,Royal Challengers Bangalore,New Wanderers Stadium,29,20,4,0,145.0,not out,6
32,2009-05-06,Deccan Chargers,SuperSport Park,1,4,0,0,25.0,b RG Sharma,6
35,2009-05-08,Delhi Daredevils,Buffalo Park,18,28,1,0,64.29,c AB de Villiers b A Nehra,5
45,2009-05-14,Rajasthan Royals,Kingsmead,35,18,4,1,194.44,run out (NV Ojha),7
47,2009-05-16,Chennai Super Kings,St George's Park,33,27,1,2,122.22,not out,5
55,2009-05-21,Delhi Daredevils,SuperSport Park,4,4,0,0,100.0,lbw b AM Salvi,6
