match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2009-04-19,Kolkata Knight Riders,Newlands,36,32,3,2,112.5,not out,4
8,2009-04-22,Royal Challengers Bangalore,Newlands,52,30,1,5,173.33,c KP Pietersen b DW Steyn,4
12,2009-04-25,Mumbai Indians,Kingsmead,3,5,0,0,60.0,c S Dhawan b DJ Bravo,4
16,2009-04-27,Chennai Super Kings,Kingsmead,18,19,0,1,94.74,c MS Dhoni b L Balaji,4
21,2009-04-30,Delhi Daredevils,SuperSport Park,17,20,2,0,85.0,c M Manhas b A Mishra,4
25,2009-05-02,Rajasthan Royals,St George's Park,38,32,2,2,118.75,c SK Warne b SK Trivedi,4
29,2009-05-04,Chennai Super Kings,Buffalo Park,21,20,2,1,105.0,c S Badrinath b SB Jakati,4
32,2009-05-06,Mumbai Indians,SuperSport Park,38,36,2,1,105.56,c DJ Bravo b SL Malinga,4
36,2009-05-09,Kings XI Punjab,De Beers Diamond Oval,9,15,1,0,60.0,c KC Sangakkara b B Lee,4
40,2009-05-11,Rajasthan Royals,De Beers Diamond Oval,9,14,0,0,64.29,st NV Ojha b RA Jadeja,3
43,2009-05-13,Delhi Daredevils,Kingsmead,6,7,1,0,85.71,c DA Warner b PJ Sangwan,3
48,2009-05-16,Kolkata Knight Riders,New Wanderers Stadium,32,13,3,2,246.15,not out,5
49,2009-05-17,Kings XI Punjab,New Wanderers Stadium,42,26,3,3,161.54,b IK Pathan,5
56,2009-05-21,Royal Challengers Bangalore,SuperSport Park,12,12,1,0,100.0,c V Kohli b A Kumble,5
57,2009-05-22,Delhi Daredevils,SuperSport Park,5,11,0,0,45.45,not out,6
59,2009-05-24,Royal Challengers Bangalore,New Wanderers Stadium,24,23,1,1,104.35,c MK Pandey b A Kumble,5
