match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2009-04-18,Chennai Super Kings,Newlands,59,49,7,0,120.41,not out,2
12,2009-04-25,Deccan Chargers,Kingsmead,36,27,3,2,133.33,c HH Gibbs b PP Ojha,2
17,2009-04-27,Kolkata Knight Riders,St George's Park,68,45,6,4,151.11,lbw b LR Shukla,2
20,2009-04-29,Kings XI Punjab,Kingsmead,1,6,0,0,16.67,c DPMD Jayawardene b VS Malik,2
23,2009-05-01,Kolkata Knight Riders,Buffalo Park,34,30,3,2,113.33,c BB McCullum b AB Agarkar,2
28,2009-05-03,Royal Challengers Bangalore,New Wanderers Stadium,11,11,2,0,100.0,c R Dravid b D du Preez,2
32,2009-05-06,Deccan Chargers,SuperSport Park,2,4,0,0,50.0,b RP Singh,2
35,2009-05-08,Delhi Daredevils,Buffalo Park,15,14,2,0,107.14,run out (KD Karthik),4
38,2009-05-10,Royal Challengers Bangalore,St George's Park,0,3,0,0,0.0,c MV Boucher b R Vinay Kumar,2
42,2009-05-12,Kings XI Punjab,SuperSport Park,41,29,4,1,141.38,not out,4
45,2009-05-14,Rajasthan Royals,Kingsmead,40,30,4,1,133.33,lbw b SK Warne,5
47,2009-05-16,Chennai Super Kings,St George's Park,11,14,0,0,78.57,c L Balaji b SK Raina,4
55,2009-05-21,Delhi Daredevils,SuperSport Park,46,41,8,0,112.2,b R Bhatia,2
