match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2009-04-18,Rajasthan Royals,Newlands,3,8,0,0,37.5,b SK Warne,6
5,2009-04-20,Chennai Super Kings,St George's Park,11,13,0,1,84.62,c S Badrinath b Joginder Sharma,7
8,2009-04-22,Deccan Chargers,Newlands,50,32,7,0,156.25,c HH Gibbs b RP Singh,6
11,2009-04-24,Kings XI Punjab,Kingsmead,2,3,0,0,66.67,c RS Bopara b VRV Singh,7
14,2009-04-26,Delhi Daredevils,St George's Park,22,24,1,0,91.67,c TM Dilshan b A Nehra,5
19,2009-04-29,Kolkata Knight Riders,Kingsmead,19,12,1,1,158.33,c MN van Wyk b BJ Hodge,4
24,2009-05-01,Kings XI Punjab,Kingsmead,16,14,2,0,114.29,c PP Chawla b IK Pathan,6
33,2009-05-07,Rajasthan Royals,SuperSport Park,15,22,1,0,68.18,c M Morkel b RA Jadeja,5
38,2009-05-10,Mumbai Indians,St George's Park,20,22,4,0,90.91,c JP Duminy b C Nanda,2
44,2009-05-14,Chennai Super Kings,Kingsmead,38,35,4,2,108.57,c JDP Oram b L Balaji,5
56,2009-05-21,Deccan Chargers,SuperSport Park,19,9,0,2,211.11,not out,6
58,2009-05-23,Chennai Super Kings,New Wanderers Stadium,24,17,1,2,141.18,not out,5
59,2009-05-24,Deccan Chargers,New Wanderers Stadium,7,8,1,0,87.5,st AC Gilchrist b A Symonds,6
