match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
4,Kolkata Knight Riders,AC Gilchrist,13,11,2,0,118.18,c MC Henriques b AB Dinda
4,Kolkata Knight Riders,HH Gibbs,43,26,5,1,165.38,not out
4,Kolkata Knight Riders,VVS Laxman,10,10,1,1,100.0,"run out (LR Shukla, BB McCullum)"
4,Kolkata Knight Riders,RG Sharma,36,32,3,2,112.5,not out
8,Royal Challengers Bangalore,AC Gilchrist,71,45,6,5,157.78,c V Kohli b KP Pietersen
8,Royal Challengers Bangalore,HH Gibbs,13,7,1,1,185.71,lbw b P Kumar
8,Royal Challengers Bangalore,VVS Laxman,5,10,0,0,50.0,c DW Steyn b JD Ryder
8,Royal Challengers Bangalore,RG Sharma,52,30,1,5,173.33,c KP Pietersen b DW Steyn
8,Royal Challengers Bangalore,SB Styris,14,8,0,1,175.0,c P Kumar b KP Pietersen
8,Royal Challengers Bangalore,Y Venugopal Rao,9,13,0,0,69.23,"run out (KV Sharma, RV Uthappa)"
8,Royal Challengers Bangalore,DB Ravi Teja,8,5,1,0,160.0,not out
8,Royal Challengers Bangalore,FH Edwards,3,2,0,0,150.0,not out
12,Mumbai Indians,AC Gilchrist,35,20,3,3,175.0,c PR Shah b DJ Bravo
12,Mumbai Indians,HH Gibbs,58,44,6,2,131.82,"run out (DJ Bravo, Z Khan)"
12,Mumbai Indians,DR Smith,35,22,2,2,159.09,b ST Jayasuriya
12,Mumbai Indians,RG Sharma,3,5,0,0,60.0,c S Dhawan b DJ Bravo
12,Mumbai Indians,VVS Laxman,0,1,0,0,0.0,c AM Nayar b DJ Bravo
12,Mumbai Indians,Y Venugopal Rao,9,10,0,0,90.0,b SL Malinga
12,Mumbai Indians,DB Ravi Teja,9,9,1,0,100.0,lbw b SL Malinga
12,Mumbai Indians,RP Singh,4,4,0,0,100.0,c ST Jayasuriya b Harbhajan Singh
12,Mumbai Indians,FH Edwards,1,3,0,0,33.33,b SL Malinga
12,Mumbai Indians,PP Ojha,0,2,0,0,0.0,not out
