innings,team,wicket_number,player_out,score,over
1,Kings XI Punjab,1,RS Bopara,18,3.5
1,Kings XI Punjab,2,KC Sangakkara,54,9.2
1,Kings XI Punjab,3,IK Pathan,58,10.5
1,Kings XI Punjab,4,DPMD Jayawardene,64,11.6
1,Kings XI Punjab,5,M Kaif,109,17.2
1,Kings XI Punjab,6,MS Bisla,124,19.5
1,Kings XI Punjab,7,Yuvraj Singh,124,19.6
1,Kings XI Punjab,8,J Theron,125,20.1
2,Chennai Super Kings,1,ML Hayden,65,9.4
2,Chennai Super Kings,2,SK Raina,96,13.3
2,Chennai Super Kings,3,M Vijay,97,13.6
2,Chennai Super Kings,4,S Badrinath,104,14.6
2,Chennai Super Kings,5,PA Patel,121,18.2
2,Chennai Super Kings,6,MS Gony,127,19.4
2,Chennai Super Kings,7,R Ashwin,136,20.6
