innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Rajasthan Royals,1,MJ Lumb,21,13,NV Ojha,13,10,35,22
1,Rajasthan Royals,2,FY Fazal,3,6,MJ Lumb,20,17,25,22
1,Rajasthan Royals,3,YK Pathan,28,19,FY Fazal,18,15,51,34
1,Rajasthan Royals,4,AC Voges,34,20,FY Fazal,24,17,60,37
1,Rajasthan Royals,5,P Dogra,1,1,AC Voges,7,3,8,4
1,Rajasthan Royals,6,AC Voges,4,1,AA Jhunjhunwala,0,0,4,1
2,Kings XI Punjab,1,RS Bopara,11,11,KC Sangakkara,29,13,41,24
2,Kings XI Punjab,2,MS Bisla,35,18,RS Bopara,7,5,44,23
2,Kings XI Punjab,3,Yuvraj Singh,15,13,RS Bopara,5,6,22,19
2,Kings XI Punjab,4,DPMD Jayawardene,4,5,RS Bopara,2,4,6,9
2,Kings XI Punjab,5,DPMD Jayawardene,1,2,IK Pathan,1,1,2,3
2,Kings XI Punjab,6,M Kaif,8,8,DPMD Jayawardene,3,3,11,11
2,Kings XI Punjab,7,PP Chawla,8,8,DPMD Jayawardene,2,2,10,10
2,Kings XI Punjab,8,DPMD Jayawardene,2,3,J Theron,2,4,4,7
2,Kings XI Punjab,9,DPMD Jayawardene,11,7,S Sreesanth,0,1,12,7
2,Kings XI Punjab,10,S Sreesanth,0,1,SJ Srivastava,0,1,0,2
