innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,CH Gayle,28,3.5
1,Kolkata Knight Riders,2,Mandeep Singh,45,5.6
1,Kolkata Knight Riders,3,SC Ganguly,124,15.3
1,Kolkata Knight Riders,4,DJ Hussey,130,16.6
1,Kolkata Knight Riders,5,AD Mathews,163,20.2
2,Kings XI Punjab,1,RS Bopara,0,1.2
2,Kings XI Punjab,2,Yuvraj Singh,41,6.4
2,Kings XI Punjab,3,MS Bisla,54,8.3
2,Kings XI Punjab,4,DPMD Jayawardene,92,14.4
2,Kings XI Punjab,5,KC Sangakkara,98,15.2
2,Kings XI Punjab,6,IK Pathan,135,19.5
