innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bangalore,A Kumble,4.0,0,17,1,4.25,14,1,0
1,Royal Challengers Bangalore,DW Steyn,4.0,0,27,1,6.75,13,1,0
1,Royal Challengers Bangalore,JH Kallis,4.0,0,31,2,7.75,9,1,0
1,Royal Challengers Bangalore,P Kumar,3.0,0,37,0,12.33,5,2,0
1,Royal Challengers Bangalore,R Vinay Kumar,3.0,0,23,3,7.67,9,1,0
1,Royal Challengers Bangalore,S Sriram,2.0,0,24,0,12.0,2,0,0
2,Kolkata Knight Riders,AB Agarkar,3.0,0,29,0,9.67,4,0,0
2,Kolkata Knight Riders,AB Dinda,3.1,0,15,2,4.74,10,0,0
2,Kolkata Knight Riders,AD Mathews,3.0,0,25,1,8.33,4,0,0
2,Kolkata Knight Riders,BAW Mendis,4.0,0,44,0,11.0,6,1,0
2,Kolkata Knight Riders,I Sharma,4.0,0,46,0,11.5,7,2,0
