innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kolkata Knight Riders,1,SC Ganguly,16,17,CH Gayle,34,15,52,32
1,Kolkata Knight Riders,2,BB McCullum,27,24,SC Ganguly,17,15,51,39
1,Kolkata Knight Riders,3,BB McCullum,0,1,MK Tiwary,0,2,0,3
1,Kolkata Knight Riders,4,BB McCullum,1,3,AD Mathews,1,2,2,5
1,Kolkata Knight Riders,5,BB McCullum,17,8,WP Saha,12,12,29,20
1,Kolkata Knight Riders,6,WP Saha,1,3,CA Pujara,2,3,3,6
1,Kolkata Knight Riders,7,CA Pujara,14,5,AB Agarkar,3,4,18,9
1,Kolkata Knight Riders,8,AB Dinda,0,1,AB Agarkar,0,0,0,1
1,Kolkata Knight Riders,9,I Sharma,0,2,AB Agarkar,0,0,0,2
1,Kolkata Knight Riders,10,BAW Mendis,1,1,AB Agarkar,3,2,5,3
2,Royal Challengers Bangalore,1,S Sriram,3,6,JH Kallis,8,11,11,17
2,Royal Challengers Bangalore,2,R Dravid,38,30,S Sriram,24,23,72,53
2,Royal Challengers Bangalore,3,RV Uthappa,5,5,R Dravid,14,5,19,10
2,Royal Challengers Bangalore,4,RV Uthappa,45,17,LRPL Taylor,14,6,60,23
