innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bangalore,A Kumble,4.0,0,27,1,6.75,9,0,1
1,Royal Challengers Bangalore,DW Steyn,4.0,0,18,3,4.5,13,2,0
1,Royal Challengers Bangalore,JH Kallis,4.0,0,40,0,10.0,9,0,0
1,Royal Challengers Bangalore,KP Appanna,3.0,0,27,0,9.0,5,1,0
1,Royal Challengers Bangalore,R Vinay Kumar,3.0,0,19,1,6.33,7,0,0
1,Royal Challengers Bangalore,V Kohli,2.0,0,16,0,8.0,3,0,0
2,Deccan Chargers,A Symonds,4.0,0,33,1,8.25,5,0,0
2,Deccan Chargers,Harmeet Singh,4.0,0,24,2,6.0,9,2,0
2,Deccan Chargers,PP Ojha,4.0,0,22,2,5.5,11,0,0
2,Deccan Chargers,RJ Harris,3.4,0,34,2,9.27,9,3,0
2,Deccan Chargers,RP Singh,4.0,0,21,2,5.25,10,2,0
