match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2010-03-12,Deccan Chargers,Dr DY Patil Sports Academy,4.0,0,27,1,6.75,9,1,1
4,2010-03-14,Royal Challengers Bangalore,Eden Gardens,4.0,0,19,4,4.75,10,0,0
8,2010-03-16,Chennai Super Kings,Eden Gardens,3.0,0,29,0,9.67,2,0,0
13,2010-03-20,Rajasthan Royals,"Sardar Patel Stadium, Motera",3.0,0,33,0,11.0,3,0,0
17,2010-03-22,Mumbai Indians,Brabourne Stadium,3.3,0,29,0,8.29,5,1,0
23,2010-03-27,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,26,1,6.5,6,0,0
26,2010-03-29,Delhi Daredevils,Feroz Shah Kotla,2.0,0,11,0,5.5,4,0,0
30,2010-04-01,Deccan Chargers,Eden Gardens,4.0,0,25,1,6.25,9,1,0
34,2010-04-04,Kings XI Punjab,Eden Gardens,3.0,0,32,0,10.67,3,0,0
39,2010-04-07,Delhi Daredevils,Eden Gardens,3.0,0,43,0,14.33,2,0,0
43,2010-04-10,Royal Challengers Bangalore,M Chinnaswamy Stadium,3.0,0,25,1,8.33,4,0,0
48,2010-04-13,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",1.0,0,15,0,15.0,1,1,0
