match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2010-03-13,Mumbai Indians,Brabourne Stadium,3.0,0,29,0,9.67,3,1,0
6,2010-03-15,Delhi Daredevils,"Sardar Patel Stadium, Motera",4.0,0,22,1,5.5,6,0,0
10,2010-03-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,2.0,0,12,0,6.0,6,0,0
13,2010-03-20,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",4.0,0,27,0,6.75,3,0,0
19,2010-03-24,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,39,1,9.75,6,1,0
22,2010-03-26,Deccan Chargers,"Sardar Patel Stadium, Motera",4.0,0,15,1,3.75,11,0,0
24,2010-03-28,Chennai Super Kings,"Sardar Patel Stadium, Motera",4.0,0,34,1,8.5,6,0,0
29,2010-03-31,Delhi Daredevils,Feroz Shah Kotla,4.0,0,26,1,6.5,8,0,0
32,2010-04-03,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",3.0,0,32,1,10.67,5,0,0
36,2010-04-05,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",4.0,0,21,4,5.25,12,0,0
38,2010-04-07,Kings XI Punjab,Sawai Mansingh Stadium,3.0,0,42,0,14.0,2,1,0
45,2010-04-11,Mumbai Indians,Sawai Mansingh Stadium,4.0,0,34,0,8.5,6,1,0
49,2010-04-14,Royal Challengers Bangalore,Sawai Mansingh Stadium,4.0,0,28,1,7.0,13,0,0
53,2010-04-17,Kolkata Knight Riders,Eden Gardens,3.0,0,20,0,6.67,6,1,0
