innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Mumbai Indians,AG Murtaza,4.0,0,21,1,5.25,13,1,0
1,Mumbai Indians,Harbhajan Singh,3.0,0,14,2,4.67,11,1,0
1,Mumbai Indians,JEC Franklin,1.0,0,9,0,9.0,0,0,0
1,Mumbai Indians,KA Pollard,3.0,0,18,0,6.0,5,1,0
1,Mumbai Indians,MM Patel,3.0,0,20,0,6.67,10,0,0
1,Mumbai Indians,SL Malinga,3.4,1,13,5,3.55,16,1,0
2,Delhi Daredevils,AB Dinda,2.0,0,7,0,3.5,7,0,0
2,Delhi Daredevils,AJ Finch,2.0,0,13,0,6.5,5,1,0
2,Delhi Daredevils,IK Pathan,2.5,0,14,0,4.94,8,3,0
2,Delhi Daredevils,M Morkel,4.0,0,29,1,7.25,7,3,0
2,Delhi Daredevils,RE van der Merwe,4.0,0,16,0,4.0,14,0,0
2,Delhi Daredevils,UT Yadav,2.0,0,16,0,8.0,2,0,0
