innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Kochi Tuskers Kerala,1,1,BB McCullum,B Lee,DPMD Jayawardene,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,1,2,BB McCullum,B Lee,DPMD Jayawardene,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,1,3,BB McCullum,B Lee,DPMD Jayawardene,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,1,4,DPMD Jayawardene,B Lee,BB McCullum,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,1,5,DPMD Jayawardene,B Lee,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,1,6,DPMD Jayawardene,B Lee,BB McCullum,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Kochi Tuskers Kerala,2,1.wides,DPMD Jayawardene,L Balaji,BB McCullum,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,2,1,DPMD Jayawardene,L Balaji,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,2,2,DPMD Jayawardene,L Balaji,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,2,3,DPMD Jayawardene,L Balaji,BB McCullum,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,2,4,DPMD Jayawardene,L Balaji,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,2,5,DPMD Jayawardene,L Balaji,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,2,6,DPMD Jayawardene,L Balaji,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,3,1,BB McCullum,B Lee,DPMD Jayawardene,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,3,2,BB McCullum,B Lee,DPMD Jayawardene,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,3,3,BB McCullum,B Lee,DPMD Jayawardene,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,3,4,BB McCullum,B Lee,DPMD Jayawardene,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,3,5,BB McCullum,B Lee,DPMD Jayawardene,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,3,6,BB McCullum,B Lee,DPMD Jayawardene,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,4,1,BB McCullum,Iqbal Abdulla,DPMD Jayawardene,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,4,2,BB McCullum,Iqbal Abdulla,DPMD Jayawardene,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,4,3,BB McCullum,Iqbal Abdulla,DPMD Jayawardene,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,4,4,DPMD Jayawardene,Iqbal Abdulla,BB McCullum,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,4,5,DPMD Jayawardene,Iqbal Abdulla,BB McCullum,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,4,6,BB McCullum,Iqbal Abdulla,DPMD Jayawardene,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,5,1,BB McCullum,Shakib Al Hasan,DPMD Jayawardene,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,5,2,DPMD Jayawardene,Shakib Al Hasan,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,5,3,DPMD Jayawardene,Shakib Al Hasan,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,5,4,DPMD Jayawardene,Shakib Al Hasan,BB McCullum,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kochi Tuskers Kerala,5,5,DPMD Jayawardene,Shakib Al Hasan,BB McCullum,4,0,4,,0,0,0,0,0,False,,,,powerplay
