innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Pune Warriors,AC Thomas,4.0,0,29,2,7.25,7,1,0
1,Pune Warriors,JE Taylor,4.0,0,30,3,7.5,11,2,0
1,Pune Warriors,M Kartik,4.0,0,29,0,7.25,8,0,0
1,Pune Warriors,NL McCullum,2.0,0,12,0,6.0,6,0,0
1,Pune Warriors,R Sharma,4.0,0,27,1,6.75,9,0,0
1,Pune Warriors,Yuvraj Singh,2.0,0,14,0,7.0,3,0,0
2,Chennai Super Kings,DE Bollinger,4.0,0,20,2,5.0,8,1,0
2,Chennai Super Kings,JA Morkel,4.0,0,29,3,7.25,11,1,1
2,Chennai Super Kings,R Ashwin,4.0,1,19,2,4.75,12,0,0
2,Chennai Super Kings,S Randiv,4.0,0,23,0,5.75,11,0,0
2,Chennai Super Kings,SB Jakati,2.0,0,12,0,6.0,4,0,0
2,Chennai Super Kings,SK Raina,2.0,0,11,0,5.5,4,0,0
