innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,M Vijay,64,10.2
1,Chennai Super Kings,2,SK Raina,66,10.6
1,Chennai Super Kings,3,MS Dhoni,118,17.4
1,Chennai Super Kings,4,MEK Hussey,122,18.2
1,Chennai Super Kings,5,JA Morkel,123,18.4
1,Chennai Super Kings,6,S Anirudha,142,20.6
2,Pune Warriors,1,MD Mishra,19,3.4
2,Pune Warriors,2,JD Ryder,27,4.6
2,Pune Warriors,3,MK Pandey,40,5.5
2,Pune Warriors,4,RV Uthappa,40,6.3
2,Pune Warriors,5,M Manhas,78,13.5
2,Pune Warriors,6,Yuvraj Singh,109,19.3
2,Pune Warriors,7,R Sharma,110,19.5
2,Pune Warriors,8,JE Taylor,114,20.1
2,Pune Warriors,9,NL McCullum,114,20.2
