innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Royal Challengers Bangalore,CH Gayle,49,26,4,4,188.46,lbw b R Sharma,1
1,Royal Challengers Bangalore,TM Dilshan,15,19,2,0,78.95,b R Sharma,2
1,Royal Challengers Bangalore,V Kohli,67,42,4,4,159.52,c Harpreet Singh b AC Thomas,3
1,Royal Challengers Bangalore,AB de Villiers,26,20,1,1,130.0,c R Sharma b AC Thomas,4
1,Royal Challengers Bangalore,SS Tiwary,14,8,1,1,175.0,c Harpreet Singh b JE Taylor,5
1,Royal Challengers Bangalore,M Kaif,8,5,1,0,160.0,not out,6
2,Pune Warriors,JD Ryder,51,34,4,2,150.0,c M Kaif b J Syed Mohammad,1
2,Pune Warriors,TD Paine,8,17,0,0,47.06,c DL Vettori b S Aravind,2
2,Pune Warriors,MK Pandey,19,23,2,0,82.61,c SS Tiwary b DL Vettori,3
2,Pune Warriors,Yuvraj Singh,41,23,2,3,178.26,c J Syed Mohammad b Z Khan,4
2,Pune Warriors,RV Uthappa,23,17,3,1,135.29,not out,5
2,Pune Warriors,M Manhas,3,5,0,0,60.0,c M Kaif b CH Gayle,6
2,Pune Warriors,Harpreet Singh,1,1,0,0,100.0,not out,7
