innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Mumbai Indians,DJ Jacobs,10,10,2,0,100.0,b Bipul Sharma,1
1,Mumbai Indians,SR Tendulkar,51,45,3,1,113.33,c AM Nayar b RJ Harris,2
1,Mumbai Indians,AT Rayudu,51,37,8,1,137.84,c KD Karthik b PP Chawla,3
1,Mumbai Indians,KA Pollard,20,11,1,2,181.82,c PC Valthaty b PP Chawla,4
1,Mumbai Indians,RG Sharma,18,11,3,0,163.64,c DJ Hussey b RJ Harris,5
1,Mumbai Indians,A Symonds,4,6,0,0,66.67,not out,6
2,Kings XI Punjab,PC Valthaty,33,38,1,2,86.84,c KA Pollard b A Symonds,1
2,Kings XI Punjab,AC Gilchrist,0,2,0,0,0.0,lbw b Harbhajan Singh,2
2,Kings XI Punjab,SE Marsh,61,47,8,0,129.79,c SR Tendulkar b SL Malinga,3
2,Kings XI Punjab,DJ Hussey,1,5,0,0,20.0,c RG Sharma b MM Patel,4
2,Kings XI Punjab,KD Karthik,1,2,0,0,50.0,lbw b KA Pollard,5
2,Kings XI Punjab,AM Nayar,14,9,2,0,155.56,c A Symonds b Harbhajan Singh,6
2,Kings XI Punjab,Bipul Sharma,1,2,0,0,50.0,b SL Malinga,7
2,Kings XI Punjab,PP Chawla,10,10,1,0,100.0,not out,8
2,Kings XI Punjab,RJ Harris,1,2,0,0,50.0,c KA Pollard b MM Patel,9
2,Kings XI Punjab,P Kumar,2,3,0,0,66.67,not out,10
