innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Delhi Daredevils,1,DA Warner,6,6,V Sehwag,15,9,21,15
1,Delhi Daredevils,2,NV Ojha,13,12,DA Warner,7,9,21,20
1,Delhi Daredevils,3,Y Nagar,0,1,NV Ojha,0,2,1,3
1,Delhi Daredevils,4,Y Venugopal Rao,31,29,Y Nagar,18,22,54,51
1,Delhi Daredevils,5,Y Venugopal Rao,9,7,TR Birt,10,7,19,14
1,Delhi Daredevils,6,TR Birt,17,8,IK Pathan,2,3,19,11
1,Delhi Daredevils,7,IK Pathan,3,3,RE van der Merwe,2,3,5,6
2,Kochi Tuskers Kerala,1,M Klinger,14,13,BB McCullum,37,19,61,31
2,Kochi Tuskers Kerala,2,PA Patel,3,6,M Klinger,4,7,10,12
2,Kochi Tuskers Kerala,3,DPMD Jayawardene,7,10,PA Patel,7,7,18,17
2,Kochi Tuskers Kerala,4,PA Patel,27,18,BJ Hodge,24,13,52,30
