innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Royal Challengers Bangalore,1,CH Gayle,24,20,TM Dilshan,16,9,43,29
1,Royal Challengers Bangalore,2,CH Gayle,83,29,V Kohli,27,30,111,59
1,Royal Challengers Bangalore,3,AB de Villiers,1,1,V Kohli,0,1,1,2
1,Royal Challengers Bangalore,4,AB de Villiers,18,8,SS Tiwary,13,9,31,17
1,Royal Challengers Bangalore,5,AUK Pathan,0,1,AB de Villiers,0,0,0,1
1,Royal Challengers Bangalore,6,AB de Villiers,8,4,M Kaif,3,4,12,8
1,Royal Challengers Bangalore,7,A Mithun,6,3,AB de Villiers,0,1,7,4
2,Kings XI Punjab,1,AC Gilchrist,0,1,PC Valthaty,0,0,0,1
2,Kings XI Punjab,2,PC Valthaty,3,7,AM Nayar,1,4,5,11
2,Kings XI Punjab,3,PC Valthaty,18,9,SE Marsh,4,6,23,15
2,Kings XI Punjab,4,KD Karthik,6,4,SE Marsh,0,2,6,6
2,Kings XI Punjab,5,Sunny Singh,4,5,KD Karthik,12,8,16,13
2,Kings XI Punjab,6,KD Karthik,2,3,R McLaren,5,4,7,7
2,Kings XI Punjab,7,PP Chawla,5,6,R McLaren,5,7,10,13
2,Kings XI Punjab,8,R McLaren,18,21,RJ Harris,17,24,37,44
2,Kings XI Punjab,9,P Kumar,1,1,RJ Harris,0,1,1,2
2,Kings XI Punjab,10,L Ablish,0,2,P Kumar,14,6,15,8
