innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kochi Tuskers Kerala,1,M Klinger,20,17,BB McCullum,22,16,43,33
1,Kochi Tuskers Kerala,2,PA Patel,16,10,M Klinger,4,8,21,17
1,Kochi Tuskers Kerala,3,DPMD Jayawardene,3,7,PA Patel,2,3,8,10
1,Kochi Tuskers Kerala,4,PA Patel,1,1,BJ Hodge,0,1,1,2
1,Kochi Tuskers Kerala,5,RA Jadeja,9,8,BJ Hodge,5,11,16,19
1,Kochi Tuskers Kerala,6,RV Gomez,7,15,RA Jadeja,8,8,17,23
1,Kochi Tuskers Kerala,7,RA Jadeja,5,4,R Vinay Kumar,3,3,9,7
1,Kochi Tuskers Kerala,8,RA Jadeja,1,2,RR Powar,6,4,7,6
1,Kochi Tuskers Kerala,9,RR Powar,0,1,RP Singh,0,0,0,1
1,Kochi Tuskers Kerala,10,P Parameswaran,1,1,RR Powar,2,1,3,2
2,Royal Challengers Bangalore,1,CH Gayle,44,16,TM Dilshan,21,8,67,23
2,Royal Challengers Bangalore,2,V Kohli,27,33,TM Dilshan,31,23,61,56
