innings,team,wicket_number,player_out,score,over
1,Pune Warriors,1,JD Ryder,31,4.6
1,Pune Warriors,2,SC Ganguly,35,6.5
1,Pune Warriors,3,MK Pandey,45,7.4
1,Pune Warriors,4,RV Uthappa,45,8.4
1,Pune Warriors,5,M Manhas,45,8.5
1,Pune Warriors,6,CJ Ferguson,73,12.1
1,Pune Warriors,7,Yuvraj Singh,92,15.5
1,Pune Warriors,8,MR Marsh,127,20.2
1,Pune Warriors,9,WD Parnell,136,20.6
2,Deccan Chargers,1,S Dhawan,67,9.1
2,Deccan Chargers,2,S Sohal,73,10.2
2,Deccan Chargers,3,KC Sangakkara,108,16.1
2,Deccan Chargers,4,JP Duminy,126,18.4
