innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kings XI Punjab,1,PC Valthaty,20,17,AC Gilchrist,1,6,25,23
1,Kings XI Punjab,2,AC Gilchrist,105,49,SE Marsh,79,49,206,96
1,Kings XI Punjab,3,DJ Hussey,0,1,SE Marsh,0,0,1,1
2,Royal Challengers Bangalore,1,CH Gayle,0,7,SS Tiwary,1,2,4,9
2,Royal Challengers Bangalore,2,V Kohli,11,11,SS Tiwary,0,4,13,15
2,Royal Challengers Bangalore,3,SS Tiwary,5,5,AB de Villiers,12,7,17,12
2,Royal Challengers Bangalore,4,AB de Villiers,2,2,AUK Pathan,7,4,9,6
2,Royal Challengers Bangalore,5,M Kaif,15,11,AB de Villiers,14,11,29,22
2,Royal Challengers Bangalore,6,KB Arun Karthik,6,6,AB de Villiers,6,4,16,10
2,Royal Challengers Bangalore,7,JJ van der Wath,1,1,AB de Villiers,0,3,1,4
2,Royal Challengers Bangalore,8,A Mithun,3,3,JJ van der Wath,3,4,6,7
2,Royal Challengers Bangalore,9,CK Langeveldt,1,4,A Mithun,7,4,8,8
2,Royal Challengers Bangalore,10,S Aravind,11,5,CK Langeveldt,7,4,18,9
