innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kolkata Knight Riders,B Lee,4.0,0,28,0,7.0,10,0,0
1,Kolkata Knight Riders,Iqbal Abdulla,3.0,0,12,1,4.0,11,1,0
1,Kolkata Knight Riders,JH Kallis,2.0,0,18,0,9.0,3,0,0
1,Kolkata Knight Riders,L Balaji,1.0,0,7,2,7.0,2,0,1
1,Kolkata Knight Riders,R Bhatia,2.0,0,11,0,5.5,7,1,0
1,Kolkata Knight Riders,Shakib Al Hasan,4.0,0,16,2,4.0,13,1,0
1,Kolkata Knight Riders,YK Pathan,4.0,0,23,2,5.75,8,0,0
2,Pune Warriors,AC Thomas,3.0,0,29,1,9.67,4,1,0
2,Pune Warriors,B Kumar,3.0,0,19,1,6.33,9,0,1
2,Pune Warriors,R Sharma,4.0,0,29,0,7.25,11,0,0
2,Pune Warriors,S Rana,0.4,0,2,0,3.0,2,0,0
2,Pune Warriors,WD Parnell,4.0,0,27,1,6.75,11,1,0
2,Pune Warriors,Yuvraj Singh,2.0,0,12,0,6.0,7,0,0
