innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bangalore,A Mithun,2.0,0,22,0,11.0,2,0,0
1,Royal Challengers Bangalore,CH Gayle,4.0,0,34,2,8.5,8,0,0
1,Royal Challengers Bangalore,DL Vettori,4.0,0,34,0,8.5,5,0,0
1,Royal Challengers Bangalore,J Syed Mohammad,3.0,0,39,1,13.0,3,0,0
1,Royal Challengers Bangalore,S Aravind,3.0,0,39,2,13.0,5,2,0
1,Royal Challengers Bangalore,Z Khan,4.0,0,30,0,7.5,7,0,0
2,Chennai Super Kings,DE Bollinger,3.0,0,28,1,9.33,5,1,0
2,Chennai Super Kings,DJ Bravo,2.0,0,15,1,7.5,3,0,0
2,Chennai Super Kings,JA Morkel,3.0,0,24,0,8.0,5,0,0
2,Chennai Super Kings,R Ashwin,4.0,0,16,3,4.0,10,0,0
2,Chennai Super Kings,SB Jakati,4.0,0,21,2,5.25,9,0,1
2,Chennai Super Kings,SK Raina,4.0,0,39,1,9.75,10,0,0
