match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2011-04-10,Delhi Daredevils,Feroz Shah Kotla,14,15,2,0,93.33,run out (RE van der Merwe),3
8,2011-04-12,Royal Challengers Bangalore,M Chinnaswamy Stadium,63,50,9,0,126.0,not out,3
13,2011-04-15,Kochi Tuskers Kerala,Wankhede Stadium,53,33,3,4,160.61,run out (R Vinay Kumar),3
21,2011-04-20,Pune Warriors,Wankhede Stadium,37,40,4,0,92.5,c R Sharma b AC Thomas,3
25,2011-04-22,Chennai Super Kings,Wankhede Stadium,27,29,4,0,93.1,st MS Dhoni b S Randiv,3
27,2011-04-24,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",7,8,0,0,87.5,c S Dhawan b A Mishra,3
34,2011-04-29,Rajasthan Royals,Sawai Mansingh Stadium,11,13,1,0,84.62,c & b AL Menaria,3
40,2011-05-02,Kings XI Punjab,Wankhede Stadium,51,37,8,1,137.84,c KD Karthik b PP Chawla,3
44,2011-05-04,Pune Warriors,Dr DY Patil Sports Academy,27,28,2,0,96.43,c MK Pandey b Yuvraj Singh,3
49,2011-05-07,Delhi Daredevils,Wankhede Stadium,59,39,7,2,151.28,c V Sehwag b JR Hopes,3
54,2011-05-10,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",13,19,2,0,68.42,c Bipul Sharma b SJ Srivastava,5
59,2011-05-14,Deccan Chargers,Wankhede Stadium,2,8,0,0,25.0,b I Sharma,3
66,2011-05-20,Rajasthan Royals,Wankhede Stadium,2,8,0,0,25.0,c LRPL Taylor b SR Watson,3
70,2011-05-22,Kolkata Knight Riders,Eden Gardens,17,6,0,2,283.33,not out,7
72,2011-05-25,Kolkata Knight Riders,Wankhede Stadium,12,16,2,0,75.0,c SP Goswami b JH Kallis,4
73,2011-05-27,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",0,1,0,0,0.0,lbw b DL Vettori,6
