match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
12,2011-04-15,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,29,0,7.25,8,2,0
17,2011-04-17,Rajasthan Royals,Eden Gardens,2.2,0,12,1,5.14,6,0,1
22,2011-04-20,Kochi Tuskers Kerala,Eden Gardens,4.0,0,33,1,8.25,9,1,0
33,2011-04-28,Delhi Daredevils,Feroz Shah Kotla,4.0,0,24,0,6.0,11,3,0
37,2011-04-30,Kings XI Punjab,Eden Gardens,4.0,0,27,0,6.75,10,1,0
42,2011-05-03,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",4.0,0,30,1,7.5,9,0,0
45,2011-05-05,Kochi Tuskers Kerala,Nehru Stadium,4.0,1,42,0,10.5,9,0,1
48,2011-05-07,Chennai Super Kings,Eden Gardens,4.0,0,8,0,2.0,15,0,0
58,2011-05-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,3.0,0,31,1,10.33,7,1,0
65,2011-05-19,Pune Warriors,Dr DY Patil Sports Academy,4.0,0,28,0,7.0,10,0,0
70,2011-05-22,Mumbai Indians,Eden Gardens,4.0,0,37,0,9.25,6,2,0
72,2011-05-25,Mumbai Indians,Wankhede Stadium,4.0,0,37,1,9.25,8,0,0
