match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2011-04-10,Mumbai Indians,Feroz Shah Kotla,0,1,0,0,0.0,"run out (R Sathish, DJ Jacobs)",7
7,2011-04-12,Rajasthan Royals,Sawai Mansingh Stadium,9,6,2,0,150.0,not out,7
16,2011-04-17,Pune Warriors,Dr DY Patil Sports Academy,14,16,1,0,87.5,c SB Wagh b Yuvraj Singh,3
19,2011-04-19,Deccan Chargers,Feroz Shah Kotla,5,9,0,0,55.56,c B Chipli b PP Ojha,6
30,2011-04-26,Royal Challengers Bangalore,Feroz Shah Kotla,13,7,0,2,185.71,not out,7
33,2011-04-28,Kolkata Knight Riders,Feroz Shah Kotla,9,12,0,1,75.0,c RN ten Doeschate b Iqbal Abdulla,4
36,2011-04-30,Kochi Tuskers Kerala,Nehru Stadium,13,7,1,1,185.71,run out (RP Singh),7
41,2011-05-02,Kochi Tuskers Kerala,Feroz Shah Kotla,5,6,0,0,83.33,not out,7
46,2011-05-05,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",12,15,1,0,80.0,st KC Sangakkara b A Mishra,6
49,2011-05-07,Mumbai Indians,Wankhede Stadium,23,18,4,0,127.78,b SL Malinga,7
56,2011-05-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",44,34,3,2,129.41,not out,4
60,2011-05-15,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,3,7,0,0,42.86,c Mandeep Singh b PC Valthaty,5
