match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
11,2011-04-14,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",3.0,0,26,0,8.67,4,1,0
24,2011-04-22,Kolkata Knight Riders,Eden Gardens,3.0,0,37,2,12.33,4,1,0
30,2011-04-26,Delhi Daredevils,Feroz Shah Kotla,4.0,0,30,1,7.5,9,1,0
35,2011-04-29,Pune Warriors,M Chinnaswamy Stadium,4.0,0,35,1,8.75,10,3,0
47,2011-05-06,Kings XI Punjab,M Chinnaswamy Stadium,4.0,0,14,4,3.5,14,0,0
50,2011-05-08,Kochi Tuskers Kerala,M Chinnaswamy Stadium,4.0,0,20,2,5.0,13,1,0
55,2011-05-11,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,34,3,8.5,9,0,0
58,2011-05-14,Kolkata Knight Riders,M Chinnaswamy Stadium,3.0,0,18,1,6.0,7,0,0
63,2011-05-17,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,4.0,0,36,0,9.0,11,0,0
69,2011-05-22,Chennai Super Kings,M Chinnaswamy Stadium,4.0,0,20,2,5.0,14,2,0
71,2011-05-24,Chennai Super Kings,Wankhede Stadium,3.0,0,32,1,10.67,7,0,0
73,2011-05-27,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",3.0,0,27,2,9.0,8,1,0
74,2011-05-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",3.0,0,39,2,13.0,5,2,0
