innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,F du Plessis,4,1.4
1,Chennai Super Kings,2,M Vijay,38,6.5
1,Chennai Super Kings,3,SK Raina,75,10.5
1,Chennai Super Kings,4,DJ Bravo,80,12.2
1,Chennai Super Kings,5,JA Morkel,85,13.4
1,Chennai Super Kings,6,MS Dhoni,95,16.1
1,Chennai Super Kings,7,S Badrinath,99,17.1
1,Chennai Super Kings,8,R Ashwin,103,18.1
1,Chennai Super Kings,9,RA Jadeja,104,18.6
1,Chennai Super Kings,10,DE Bollinger,112,20.5
2,Mumbai Indians,1,RE Levi,69,8.5
2,Mumbai Indians,2,RG Sharma,70,9.3
2,Mumbai Indians,3,SR Tendulkar,72,9.6
