innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kolkata Knight Riders,BB McCullum,9,7,2,0,128.57,lbw b RE van der Merwe,1
1,Kolkata Knight Riders,JH Kallis,4,4,1,0,100.0,b M Morkel,2
1,Kolkata Knight Riders,G Gambhir,16,15,2,0,106.67,b M Morkel,3
1,Kolkata Knight Riders,MK Tiwary,0,1,0,0,0.0,b M Morkel,4
1,Kolkata Knight Riders,YK Pathan,0,4,0,0,0.0,c NV Ojha b UT Yadav,5
1,Kolkata Knight Riders,DB Das,18,9,0,2,200.0,"run out (AJ Finch, NV Ojha)",6
1,Kolkata Knight Riders,LR Shukla,26,17,1,2,152.94,c Y Nagar b UT Yadav,7
1,Kolkata Knight Riders,R Bhatia,7,9,0,0,77.78,st NV Ojha b RE van der Merwe,8
1,Kolkata Knight Riders,B Lee,9,5,0,1,180.0,run out (UT Yadav),9
1,Kolkata Knight Riders,Iqbal Abdulla,1,1,0,0,100.0,not out,10
2,Delhi Daredevils,AJ Finch,30,27,5,0,111.11,b JH Kallis,1
2,Delhi Daredevils,V Sehwag,20,13,1,1,153.85,c Iqbal Abdulla b R Bhatia,2
2,Delhi Daredevils,IK Pathan,42,20,2,3,210.0,not out,3
2,Delhi Daredevils,GJ Maxwell,3,7,0,0,42.86,not out,4
