innings,team,wicket_number,player_out,score,over
1,Pune Warriors,1,SC Ganguly,28,4.6
1,Pune Warriors,2,JD Ryder,32,5.5
1,Pune Warriors,3,MN Samuels,113,15.6
1,Pune Warriors,4,CJ Ferguson,121,17.3
1,Pune Warriors,5,RV Uthappa,132,19.2
1,Pune Warriors,6,SPD Smith,166,20.4
2,Kings XI Punjab,1,PC Valthaty,7,3.1
2,Kings XI Punjab,2,AC Gilchrist,9,4.2
2,Kings XI Punjab,3,Mandeep Singh,50,10.4
2,Kings XI Punjab,4,AM Nayar,75,13.5
2,Kings XI Punjab,5,DJ Hussey,84,14.6
2,Kings XI Punjab,6,PP Chawla,99,16.1
2,Kings XI Punjab,7,AD Mascarenhas,106,17.4
2,Kings XI Punjab,8,JP Faulkner,131,19.6
