innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,JH Kallis,60,7.2
1,Kolkata Knight Riders,2,MS Bisla,125,14.3
1,Kolkata Knight Riders,3,YK Pathan,126,15.1
1,Kolkata Knight Riders,4,G Gambhir,139,17.2
1,Kolkata Knight Riders,5,MK Tiwary,140,17.5
1,Kolkata Knight Riders,6,RN ten Doeschate,143,18.2
1,Kolkata Knight Riders,7,Shakib Al Hasan,151,19.3
1,Kolkata Knight Riders,8,LR Shukla,154,20.3
2,Royal Challengers Bangalore,1,CA Pujara,7,2.4
2,Royal Challengers Bangalore,2,CH Gayle,8,4.3
2,Royal Challengers Bangalore,3,V Kohli,20,6.5
2,Royal Challengers Bangalore,4,AB de Villiers,25,8.2
2,Royal Challengers Bangalore,5,MA Agarwal,33,10.1
2,Royal Challengers Bangalore,6,DL Vettori,60,12.5
2,Royal Challengers Bangalore,7,SS Tiwary,78,15.2
2,Royal Challengers Bangalore,8,HV Patel,106,18.6
2,Royal Challengers Bangalore,9,R Vinay Kumar,123,20.6
