innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Chennai Super Kings,1,1,F du Plessis,M Kartik,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,2,F du Plessis,M Kartik,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,3,S Badrinath,M Kartik,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,4,S Badrinath,M Kartik,F du Plessis,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,5,S Badrinath,M Kartik,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,1,6,F du Plessis,M Kartik,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,1,S Badrinath,A Nehra,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,2,S Badrinath,A Nehra,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,3,S Badrinath,A Nehra,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,4,S Badrinath,A Nehra,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,5,S Badrinath,A Nehra,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,2,6,F du Plessis,A Nehra,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,1,F du Plessis,M Kartik,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,2,S Badrinath,M Kartik,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,3,S Badrinath,M Kartik,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,4,S Badrinath,M Kartik,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,5,S Badrinath,M Kartik,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,3,6,S Badrinath,M Kartik,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,4,1,F du Plessis,B Kumar,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,4,2,F du Plessis,B Kumar,S Badrinath,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,4,3,F du Plessis,B Kumar,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,4,4,F du Plessis,B Kumar,S Badrinath,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,4,5,F du Plessis,B Kumar,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,4,6,F du Plessis,B Kumar,S Badrinath,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,5,1,S Badrinath,MN Samuels,F du Plessis,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,5,2,S Badrinath,MN Samuels,F du Plessis,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,5,3,S Badrinath,MN Samuels,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,5,4,F du Plessis,MN Samuels,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,5,5,S Badrinath,MN Samuels,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,5,6,F du Plessis,MN Samuels,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,6,1,S Badrinath,B Kumar,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,6,2,S Badrinath,B Kumar,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,6,3,F du Plessis,B Kumar,S Badrinath,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,6,4,F du Plessis,B Kumar,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,6,5,F du Plessis,B Kumar,S Badrinath,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,6,6.noballs,F du Plessis,B Kumar,S Badrinath,1,1,2,noballs,0,1,0,0,0,False,,,,powerplay
1,Chennai Super Kings,6,6,S Badrinath,B Kumar,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Chennai Super Kings,7,1,S Badrinath,R Sharma,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,7,2,F du Plessis,R Sharma,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,7,3,F du Plessis,R Sharma,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,7,4,F du Plessis,R Sharma,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,7,5,F du Plessis,R Sharma,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,7,6,F du Plessis,R Sharma,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,8,1,S Badrinath,AD Mathews,F du Plessis,4,0,4,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,8,2,S Badrinath,AD Mathews,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,8,3,S Badrinath,AD Mathews,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,8,4,F du Plessis,AD Mathews,S Badrinath,2,0,2,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,8,5,F du Plessis,AD Mathews,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,8,6,S Badrinath,AD Mathews,F du Plessis,4,0,4,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,9,1,F du Plessis,R Sharma,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,9,2,F du Plessis,R Sharma,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,9,3,S Badrinath,R Sharma,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,9,4,F du Plessis,R Sharma,S Badrinath,4,0,4,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,9,5,F du Plessis,R Sharma,S Badrinath,2,0,2,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,9,6,F du Plessis,R Sharma,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,10,1,F du Plessis,A Nehra,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,10,2,S Badrinath,A Nehra,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,10,3,S Badrinath,A Nehra,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,10,4,F du Plessis,A Nehra,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,10,5,S Badrinath,A Nehra,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,10,6,F du Plessis,A Nehra,S Badrinath,0,0,0,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,11,1,S Badrinath,M Kartik,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,11,2,F du Plessis,M Kartik,S Badrinath,1,0,1,,0,0,0,0,0,False,,,,middle
1,Chennai Super Kings,11,3,S Badrinath,M Kartik,F du Plessis,1,0,1,,0,0,0,0,0,False,,,,middle
