innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Rajasthan Royals,R Dravid,26,28,3,1,92.86,c DE Bollinger b SB Jakati,1
1,Rajasthan Royals,AM Rahane,15,10,3,0,150.0,c KMDN Kulasekara b R Ashwin,2
1,Rajasthan Royals,OA Shah,52,43,4,3,120.93,c MS Dhoni b KMDN Kulasekara,3
1,Rajasthan Royals,AL Menaria,36,34,2,1,105.88,c SB Jakati b DE Bollinger,4
1,Rajasthan Royals,BJ Hodge,3,5,0,0,60.0,not out,5
2,Chennai Super Kings,S Badrinath,15,22,1,0,68.18,st SP Goswami b GB Hogg,1
2,Chennai Super Kings,F du Plessis,73,52,6,2,140.38,c SP Goswami b KK Cooper,2
2,Chennai Super Kings,SK Raina,26,24,3,0,108.33,c AM Rahane b KK Cooper,3
2,Chennai Super Kings,MS Dhoni,15,12,1,0,125.0,not out,4
2,Chennai Super Kings,DJ Bravo,16,10,1,0,160.0,not out,5
