innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Rajasthan Royals,1,R Dravid,4,9,AM Rahane,0,2,6,11
1,Rajasthan Royals,2,SR Watson,5,11,AM Rahane,13,12,22,23
1,Rajasthan Royals,3,STR Binny,6,10,AM Rahane,4,8,12,18
1,Rajasthan Royals,4,BJ Hodge,1,2,STR Binny,21,8,25,10
1,Rajasthan Royals,5,J Botha,12,20,BJ Hodge,19,21,32,41
1,Rajasthan Royals,6,AL Menaria,5,3,BJ Hodge,13,5,18,8
1,Rajasthan Royals,7,DH Yagnik,10,7,AL Menaria,1,2,11,9
2,Chennai Super Kings,1,MEK Hussey,1,1,M Vijay,0,5,1,6
2,Chennai Super Kings,2,MEK Hussey,7,13,SK Raina,23,17,35,30
2,Chennai Super Kings,3,DJ Bravo,10,15,MEK Hussey,11,17,21,32
2,Chennai Super Kings,4,MS Dhoni,2,4,MEK Hussey,0,1,3,5
2,Chennai Super Kings,5,RA Jadeja,12,11,MS Dhoni,8,12,20,23
2,Chennai Super Kings,6,RA Jadeja,4,2,JA Morkel,0,0,4,2
2,Chennai Super Kings,7,S Anirudha,18,6,JA Morkel,18,6,43,11
