innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kolkata Knight Riders,1,G Gambhir,61,40,BB McCullum,37,29,99,69
1,Kolkata Knight Riders,2,G Gambhir,1,3,JH Kallis,0,1,1,4
1,Kolkata Knight Riders,3,MK Tiwary,7,7,JH Kallis,4,8,11,15
1,Kolkata Knight Riders,4,YK Pathan,11,8,MK Tiwary,5,6,16,14
1,Kolkata Knight Riders,5,DB Das,1,1,MK Tiwary,0,1,1,2
1,Kolkata Knight Riders,6,DB Das,17,7,LR Shukla,9,6,28,13
1,Kolkata Knight Riders,7,R Bhatia,1,1,DB Das,1,2,2,3
2,Chennai Super Kings,1,MEK Hussey,56,39,M Vijay,36,23,97,62
2,Chennai Super Kings,2,M Vijay,0,2,SK Raina,0,0,0,2
2,Chennai Super Kings,3,F du Plessis,5,6,SK Raina,8,10,13,16
2,Chennai Super Kings,4,MS Dhoni,9,13,F du Plessis,8,10,17,23
2,Chennai Super Kings,5,MS Dhoni,19,8,DJ Bravo,5,5,24,13
2,Chennai Super Kings,6,RA Jadeja,3,2,DJ Bravo,6,2,9,4
