innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kolkata Knight Riders,1,G Gambhir,5,3,BB McCullum,1,5,6,8
1,Kolkata Knight Riders,2,JH Kallis,0,1,G Gambhir,0,0,0,1
1,Kolkata Knight Riders,3,MK Tiwary,13,22,G Gambhir,22,20,38,42
1,Kolkata Knight Riders,4,Shakib Al Hasan,13,12,MK Tiwary,27,17,45,29
1,Kolkata Knight Riders,5,YK Pathan,1,1,MK Tiwary,1,4,2,5
1,Kolkata Knight Riders,6,YK Pathan,3,6,DB Das,2,3,5,9
1,Kolkata Knight Riders,7,YK Pathan,14,9,R Bhatia,12,7,29,15
1,Kolkata Knight Riders,8,YK Pathan,3,5,SP Narine,9,6,15,11
2,Mumbai Indians,1,HH Gibbs,13,24,SR Tendulkar,11,12,26,36
2,Mumbai Indians,2,SR Tendulkar,16,12,KD Karthik,18,18,34,30
2,Mumbai Indians,3,KD Karthik,3,8,RG Sharma,1,3,6,11
2,Mumbai Indians,4,AT Rayudu,11,8,RG Sharma,6,8,17,16
2,Mumbai Indians,5,KA Pollard,8,5,RG Sharma,5,2,13,7
2,Mumbai Indians,6,DR Smith,0,1,RG Sharma,0,0,0,1
2,Mumbai Indians,7,Harbhajan Singh,1,2,RG Sharma,0,0,1,2
2,Mumbai Indians,8,SL Malinga,7,3,RG Sharma,0,1,7,4
2,Mumbai Indians,9,RP Singh,3,4,SL Malinga,1,3,4,7
2,Mumbai Indians,10,RP Singh,0,1,MM Patel,0,0,0,1
