innings,team,wicket_number,player_out,score,over
1,Deccan Chargers,1,S Dhawan,6,1.6
1,Deccan Chargers,2,PA Reddy,19,4.3
1,Deccan Chargers,3,CL White,20,5.2
1,Deccan Chargers,4,KC Sangakkara,51,12.1
1,Deccan Chargers,5,JP Duminy,122,19.5
1,Deccan Chargers,6,PA Patel,132,20.5
1,Deccan Chargers,7,A Ashish Reddy,132,20.6
2,Royal Challengers Bangalore,1,CH Gayle,30,3.5
2,Royal Challengers Bangalore,2,TM Dilshan,36,5.3
2,Royal Challengers Bangalore,3,AB de Villiers,55,10.2
2,Royal Challengers Bangalore,4,MA Agarwal,57,10.5
2,Royal Challengers Bangalore,5,V Kohli,103,16.6
2,Royal Challengers Bangalore,6,Z Khan,104,17.5
2,Royal Challengers Bangalore,7,SS Tiwary,111,19.1
2,Royal Challengers Bangalore,8,R Vinay Kumar,120,20.2
2,Royal Challengers Bangalore,9,M Muralitharan,121,20.4
